Description,Price,Auction,Lot number,Condition,Damage,Mileage,Date of sale
Volvo S60 T5 2013 Black 2.5L vin: YV1612FSXD2177154,950,IAAI,28728621,Starts,Front End,195524 miles (Actual),22.10.2020
Volvo C70 2008 Black 2.5L vin: YV1MC67238J044156,750,IAAI,28705008,Stationary,Mechanical,169026 miles (Actual),22.10.2020
Volvo Xc60 Momentum 2018 Blue 2.0L vin: YV4A22RK8J1084088,19900,IAAI,28692745,Run and Drive,Rear,15599 miles (Actual),22.10.2020
Volvo Xc60 3.0L 2012 Gray 3.0L vin: YV4902DZXC2265882,1100,IAAI,28665370,Stationary,Left and Right Side,Inoperable Digital Dash miles (Actual),22.10.2020
Volvo Xc60 3.0L 2012 Silver 3.0L vin: YV4902DZ7C2296667,1650,IAAI,28660552,Run and Drive,Front End,72462 miles (Actual),22.10.2020
Volvo C30 2009 Beige 2.5L vin: YV1MK672192134260,2475,IAAI,28654357,Run and Drive,Right Front,115420 miles (Actual),22.10.2020
Volvo S60 T5 2013 White 2.5L vin: YV1612FS9D2170745,2000,IAAI,28630792,Stationary,Mechanical,128855 miles (Actual),22.10.2020
Volvo Xc90 I6 2008 Gray 3.2L vin: YV4CZ982681448436,425,IAAI,28601294,Stationary,Engine Burn,Inoperable Digital Dash miles (Actual),22.10.2020
Volvo S60 T5 2012 White 2.5L vin: YV1622FS2C2027180,1000,IAAI,28583656,Run and Drive,Mechanical,175214 miles (Actual),22.10.2020
Volvo Xc90 I6 2011 Black 3.2L vin: YV4952CZ7B1580176,700,IAAI,28578039,Run and Drive,Front End,180716 miles (Actual),22.10.2020
Volvo Xc90 2012 Blue 3.2L vin: YV4952CY5C1622319,2000,IAAI,28537360,Run and Drive,Front and Rear,161457 miles (Actual),22.10.2020
Volvo Xc60 3.2L 2010 Black 3.2L vin: YV4982DL1A2082646,2250,IAAI,28522626,Stationary,Front End,104761 mile (Actual),22.10.2020
Volvo Xc70 3.0T 2009 Blue 3.0L vin: YV4BZ992791050213,1075,IAAI,28476184,Run and Drive,Roof,148509 miles (Not Required/Exempt),22.10.2020
Volvo S60 2.5T 2008 Black 2.5L vin: YV1RS592X82688568,650,IAAI,28399489,Run and Drive,Right Side,85377 miles (Not Required/Exempt),22.10.2020
Volvo S80 T5 Drive-E 2015 Black 2.0L vin: YV140MAK4F1186177,2100,IAAI,28324755,Stationary,Rollover,63688 miles (Actual),22.10.2020
Volvo Xc90 I6 2008 Black 3.2L vin: YV4CZ982981462511,1050,IAAI,28260477,Run and Drive,Front and Rear,161598 miles (Not Required/Exempt),22.10.2020
Volvo Xc60 3.2L 2011 Tan 3.2L vin: YV4952DL5B2201986,2825,IAAI,28250265,Run and Drive,Front End,100710 miles (Actual),22.10.2020
Volvo S60 T5 2012 Black 2.5L vin: YV1622FSXC2080659,1075,IAAI,28238800,Stationary,Mechanical,113154 miles (Actual),22.10.2020
Volvo S60 T5 2013 Black 2.5L vin: YV1612FS5D1228016,450,IAAI,28234466,Stationary,Front End,1 mile (Inoperable Digital Dash),22.10.2020
Volvo Xc60 T5/Platinum 2015 Black 2.5L vin: YV4612RM3F2707886,10425,IAAI,28033070,Run and Drive,Theft,104088 miles (Actual),22.10.2020
Volvo Xc90 3.2 2008 Black 3.2L vin: YV4CZ982281472197,400,IAAI,27928197,Run and Drive,Front End,164782 miles (Actual),22.10.2020
Volvo S60 T5 2013 Black 2.5L vin: YV1612FS7D2176740,1700,IAAI,27190420,Stationary,Undercarriage,71196 miles (Actual),22.10.2020
Volvo Xc70 2008 Blue 3.2L vin: YV4BZ982081026609,1400,IAAI,27790236,Run and Drive,Front End,134168 miles (Actual),22.10.2020
Volvo S60 T5 2013 Charcoal 2.5L 5 vin: YV1612FH6D1217854,2700,Copart,52885500,Enhanced Vehicles,Mechanical,93917 miles (Actual),21.10.2020
Volvo Xc70 T6 Platinum 2015 Black 3.0L 6 vin: YV4902NM1F1223324,11400,Copart,51981600,Run And Drive,Rear End,55541 mile (Actual),21.10.2020
Volvo Xc60 T5 Inscription 2020 White 2.0L 4 vin: YV4102DL5L1420577,12100,Copart,51844650,Run And Drive,Front End,8081 mile (Not Actual),21.10.2020
Volvo Xc90 3.2 2009 Black 3.2L 6 vin: YV4CM982891514761,2050,Copart,51398620,Run And Drive,Rear End,99113 miles (Actual),21.10.2020
Volvo Xc40 T5 Momentum 2020 Blue 2.0L 4 vin: YV4162UK3L2228879,10800,Copart,51209310,Run And Drive,Front End,3665 miles (Actual),21.10.2020
Volvo V50 2.4I 2009 Black 2.4L 5 vin: YV1MW382092460424,725,Copart,50683580,Run And Drive,Undercarriage,188133 miles (Exempt),20.10.2020
Volvo Xc90 T6 2017 Gray 2.0L 4 vin: YV4A22PK9H1155764,19100,Copart,50571790,Run And Drive,Front End,34381 mile (Actual),21.10.2020
Volvo S80 3.2 2010 Silver 3.2L 6 vin: YV1960AS9A1123775,850,Copart,50534460,Run And Drive,Rear End,105345 miles (Actual),21.10.2020
Volvo Xc60 3.2 2012 Brown 3.2L 6 vin: YV4940DZ0C2283705,4550,Copart,50375440,Run And Drive,Side,90623 miles (Actual),21.10.2020
Volvo S40 2.4I 2008 Blue 2.4L 5 vin: YV1MS382582382538,950,Copart,50053260,Run And Drive,Minor Dent/Scratches,194725 miles (Exempt),20.10.2020
Volvo S60 Premier 2016 Gray 2.0L 4 vin: YV126MFK3G2414602,5500,Copart,49980230,Run And Drive,Rear End,36029 miles (Actual),21.10.2020
Volvo S80 3.2 2012 Gray 3.2L 6 vin: YV1940AS1C1162949,1550,Copart,49395610,Run And Drive,Front End,153553 miles (Actual),21.10.2020
Volvo S80 3.2 2008 Black 3.2L 6 vin: YV1AS982381070729,600,Copart,49235180,Enhanced Vehicles,Burn - Engine,120489 miles (Actual),21.10.2020
Volvo Xc60 T6 2013 White 3.0L 6 vin: YV4902DZ2D2463521,1950,Copart,49133160,Run And Drive,Front End,94186 miles (Actual),20.10.2020
Volvo Xc70 3.2 2010 Silver 3.2L 6 vin: YV4982BZ7A1077030,600,Copart,48050310,Run And Drive,Front End,159013 miles (Exempt),20.10.2020
Volvo C30 T5 2009 Silver 2.5L 5 vin: YV1MK672992123393,1050,Copart,47755840,Enhanced Vehicles,Front End,67187 miles (Actual),21.10.2020
Volvo S60 T5 2012 Red 2.4L 5 vin: YV1622FS1C2118652,1500,Copart,47683780,Enhanced Vehicles,Mechanical,103261 mile (Actual),21.10.2020
Volvo Xc90 3.2 2008 Burgundy 3.2L 6 vin: YV4CZ982081447685,425,Copart,43249000,Enhanced Vehicles,Front End,0 miles (Exempt),21.10.2020
Volvo S60 2015 White 2.0L 4 vin: YV126MFJ3F1343199,2600,Copart,42575080,Run And Drive,Front End,50430 miles (Actual),21.10.2020
Volvo Xc40 T5 Momentum 2020 White 2.0L 4 vin: YV4162UK5L2266095,12300,Copart,41524290,Run And Drive,Front End,29 miles (Actual),21.10.2020
Volvo Xc60 3.2 2010 Black 3.2L 6 vin: YV4960DL1A2121133,850,Copart,39769499,Run And Drive,Front End,98198 miles (Actual),21.10.2020
Volvo S60 T5 2013 Black 2.5L 5 vin: YV1612FS4D2204879,2600,Copart,38789830,Run And Drive,Front End,46885 miles (Actual),21.10.2020
Volvo S60 T5 Premier 2016 Black 2.5L vin: YV1612TK1G2396707,2800,IAAI,28569470,Stationary,Left Rear,45258 miles (Actual),22.10.2020
Volvo Xc70 T5 Premier 2016 White 2.5L vin: YV4612NK8G1269474,9075,IAAI,28322527,Run and Drive,Rear,52879 miles (Actual),21.10.2020
Volvo Vn 2018 Unknown vin: 4V4NC9EH5JN896045,25250,IAAI,27495167,Unknown,All Over,283664 miles (Actual),21.10.2020
Volvo V60 Dynamic 2018 Blue 2.0L vin: YV140MEL7J2379476,5000,IAAI,28039313,Run and Drive,Front and Rear,18203 miles (Actual),21.10.2020
Volvo Xc60 3.0L 2012 Gray 3.0L vin: YV4902DZ5C2252408,6250,IAAI,28662897,Run and Drive,Left Side,67910 miles (Actual),21.10.2020
Volvo S60 Dynamic 2017 Black 2.0L vin: YV126MFL1H2423695,5100,IAAI,28538934,Stationary,Mechanical,43307 miles (Actual),21.10.2020
Volvo Vn Vnl 2016 Black vin: 4V4NC9EH1GN929213,6725,IAAI,28710528,Unknown,Rollover,510898 miles (Not Required/Exempt),21.10.2020
Volvo V50 2011 Blue 2.5L vin: YV1672MW0B2606125,1825,IAAI,28703232,Run and Drive,Right Rear,121009 miles (Actual),21.10.2020
Volvo S40 2.4L 2009 Blue 2.4L vin: YV1MS390992465338,2750,IAAI,28666901,Run and Drive,Right Side,65689 miles (Not Required/Exempt),21.10.2020
Volvo C70 2008 Light Blue 2.5L vin: YV1MC67218J047668,475,IAAI,28656757,Starts,Front End,142515 miles (Not Required/Exempt),21.10.2020
Volvo S60 T5 Drive-E Premier 2016 Black 2.0L vin: YV126MFK8G1395499,3125,IAAI,28654089,Run and Drive,Front End,39716 miles (Actual),21.10.2020
Volvo C30 2012 Black 2.5L vin: YV1672MK0C2272743,1525,IAAI,28652962,Run and Drive,Left Front,110843 miles (Actual),21.10.2020
Volvo C70 2009 Teal 2.5L vin: YV1MC67249J077779,1450,IAAI,28640747,Stationary,Electrical,58409 miles (Actual),21.10.2020
Volvo Xc60 3.2L 2010 White 3.2L vin: YV4982DL9A2108555,2450,IAAI,28639444,Run and Drive,Right Front,123892 miles (Not Required/Exempt),21.10.2020
Volvo C70 2008 Silver 2.5L vin: YV1MC67218J054992,475,IAAI,28634732,Run and Drive,Engine Damage,302722 miles (Not Required/Exempt),21.10.2020
Volvo S60 T5 2012 Black 2.5L vin: YV1622FS4C2034633,2525,IAAI,28597477,Run and Drive,Right Side,101301 mile (Actual),21.10.2020
Volvo Xc90 I6 2010 Silver 3.2L vin: YV4982CZ6A1563052,1225,IAAI,28595897,Run and Drive,Front End,123476 miles (Not Required/Exempt),21.10.2020
Volvo S60 T5 2012 Maroon 2.5L vin: YV1622FS0C2139637,1800,IAAI,28588479,Run and Drive,Front End,104022 miles (Actual),21.10.2020
Volvo Xc60 T6 2015 White 3.0L vin: YV4902RK3F2661300,10800,IAAI,28576124,Run and Drive,Front and Rear,52686 miles (Actual),21.10.2020
Volvo S80 I6 Turbo 2010 Silver 3.0L vin: YV1992AH9A1114209,1200,IAAI,28545666,Stationary,Left and Right Side,80649 miles (Not Required/Exempt),21.10.2020
Volvo Vn Vnl 2009 Green vin: 4V4NC9KK79N491543,8125,IAAI,28539261,Unknown,Repossession,719000 miles (Not Actual),21.10.2020
Volvo Xc60 T6 Drive-E 2016 Beige 2.0L vin: YV449MRK3G2896552,9800,IAAI,28538684,Run and Drive,Front End,53717 miles (Actual),21.10.2020
Volvo C30 2011 Silver 2.5L vin: YV1672MK2B2201784,800,IAAI,28515393,Run and Drive,Front End,247042 miles (Actual),21.10.2020
Volvo C70 T5 2012 Black 2.5L vin: YV1672MC3CJ130532,1500,IAAI,28487585,Run and Drive,Front End,93095 miles (Actual),21.10.2020
Volvo Xc60 3.0L 2014 White 3.0L vin: YV4902DZ1E2548755,4700,IAAI,28420764,Starts,Front End,137700 miles (Actual),21.10.2020
Volvo C70 2008 Silver 2.5L vin: YV1MC67248J047227,475,IAAI,28414773,Starts,Front End,103211 miles (Actual),21.10.2020
Volvo S40 2010 White 2.4L vin: YV1382MS5A2501382,375,IAAI,28358403,Stationary,Front End,155356 miles (Not Required/Exempt),21.10.2020
Volvo Vn Vnl 2013 Unknown vin: 4V4NC9EH7DN562085,4700,IAAI,28342442,Unknown,Left Side,Odometer Not Required/Exempt miles (Actual),21.10.2020
Volvo S60 Dynamic 2017 White 2.0L vin: YV126MFL2H2422667,6100,IAAI,28340996,Run and Drive,Front End,30066 miles (Actual),21.10.2020
Volvo S80 I6 2010 Black 3.2L vin: YV1982AS9A1121000,550,IAAI,28291016,Stationary,Front End,Odometer Not Required/Exempt miles (Actual),21.10.2020
Volvo S80 3.2L 2008 Black 3.2L vin: YV1AS982581056072,425,IAAI,28250801,Stationary,Front End,122689 miles (Not Required/Exempt),21.10.2020
Volvo Vn 2016 Unknown vin: 4V4NC9EH0GN958881,20100,IAAI,28238675,Run and Drive,Unknown,Odometer Not Required/Exempt miles (Actual),21.10.2020
Volvo Vn 2016 Unknown vin: 4V4NC9EJ8GN961126,150,IAAI,28200159,Unknown,Front End,Odometer Not Required/Exempt miles (Actual),21.10.2020
Volvo C70 2011 Black 2.5L vin: YV1672MC9BJ119601,1700,IAAI,28153193,Stationary,Front End,116904 miles (Actual),21.10.2020
Volvo Vn Vnl 2013 Gold vin: 4V4NC9EH1DN536498,15100,IAAI,28122541,Starts,Front End,Odometer Not Required/Exempt miles (Not Actual),21.10.2020
Volvo Xc90 I6 2008 Black 3.2L vin: YV4CN982381447045,775,IAAI,28103900,Run and Drive,Rear,167618 miles (Not Required/Exempt),21.10.2020
Volvo V70 3.2 2010 Silver 3.2L vin: YV1960BW6A1155794,400,IAAI,27916005,Run and Drive,Front End,130039 miles (Actual),21.10.2020
Volvo Xc90 2014 Black 3.2L vin: YV4952CZ6E1699437,7400,IAAI,27885156,Run and Drive,Front End,69416 miles (Actual),21.10.2020
Volvo S60 Inscription Platinum 2016 White 2.0L vin: LYV402FM8GB109195,6600,IAAI,27844191,Stationary,Front End,41606 miles (Actual),21.10.2020
Volvo Xc90 I6 R-Design 2011 White 3.2L vin: YV4952CF3B1594758,775,IAAI,27759650,Stationary,Engine Damage,171223 miles (Actual),21.10.2020
Volvo V60 T5/Premier 2017 Dark Blue 2.0L vin: YV140MEK4H1361508,8425,IAAI,27722492,Run and Drive,Left Side,29860 miles (Actual),21.10.2020
Volvo Vn 2020 Unknown vin: 4V4NC9TH7LN253301,10025,IAAI,27684861,Unknown,Front and Rear,50000 miles (Not Actual),21.10.2020
Volvo Vn 2013 Unknown vin: 4V4NC9EH0DN136433,2700,IAAI,27578957,Unknown,Front End,Odometer Not Required/Exempt miles (Actual),21.10.2020
Volvo Vn Vnl 2015 Unknown vin: 4V4NC9EH8FN916859,7875,IAAI,27536102,Unknown,Right Side,1 mile (Not Actual),21.10.2020
Volvo Vn Vnl 2016 White vin: 4V4NC9EH4GN933109,7725,IAAI,27106679,Unknown,Right Side,Odometer Not Required/Exempt miles (Not Actual),21.10.2020
Volvo Vn 2017 Unknown vin: 4V4NC9EG7HN985794,6300,IAAI,26795058,Unknown,Front End,Odometer Not Required/Exempt miles (Not Actual),21.10.2020
Volvo C70 T5 2008 Dark Blue 2.5L vin: YV1MC67268J052946,675,IAAI,26158502,Run and Drive,Left Side,127482 miles (Not Required/Exempt),21.10.2020
Volvo Xc90 3.2 2008 Brown 3.2L 6 vin: YV4CZ982581483274,750,Copart,52901790,Run And Drive,Front End,208842 miles (Actual),20.10.2020
Volvo Vn 2013 Unknown vin: 4V4NC9EG6DN135150,25,IAAI,20426800,Unknown,Total Burn,0 miles (Burnt),21.10.2020
Volvo C30 T5 2008 Silver 2.5L 5 vin: YV1MK672482071332,2200,Copart,51520080,Run And Drive,Minor Dent/Scratches,135477 miles (Actual),19.10.2020
Volvo Xc90 T5 2017 Brown 2.0L 4 vin: YV4102XK0H1181207,9300,Copart,51213930,Enhanced Vehicles,Front End,0 miles (Not Actual),20.10.2020
Volvo C30 T5 2012 Silver 2.5L 5 vin: YV1672MK9C2285992,2100,Copart,50892230,Run And Drive,Rear End,130050 miles (Actual),20.10.2020
Volvo Xc40 T5 Momentum 2019 White 2.0L 4 vin: YV4162UK3K2136475,10200,Copart,50797070,Engine Start Program,Front End,3772 miles (Actual),20.10.2020
Volvo S60 T5 2014 White 2.5L 5 vin: YV1612FS5E2272724,3150,Copart,50093650,Run And Drive,Rear End,35299 miles (Actual),19.10.2020
Volvo S60 Premier 2016 White 2.5L 5 vin: YV1612TK8G2410246,3850,Copart,49984390,Run And Drive,Front End,63013 miles (Actual),20.10.2020
Volvo Xc60 T6 2011 White 3.0L 6 vin: YV4902DZ9B2220706,400,Copart,49662310,Enhanced Vehicles,All Over,107443 miles (Actual),20.10.2020
Volvo Xc60 T6 Momentum 2018 Brown 2.0L 4 vin: YV4A22RK1J1038490,22100,Copart,48408620,Run And Drive,Side,24343 miles (Not Actual),19.10.2020
Volvo Xc60 T6 2011 Red 3.0L 6 vin: YV4902DZ5B2175179,3400,Copart,47598010,Run And Drive,Front End,113088 miles (Actual),20.10.2020
Volvo Xc90 T5 2018 White 2.0L 4 vin: YV4102PK0J1355878,8800,Copart,47048840,Engine Start Program,Rear End,45337 miles (Actual),20.10.2020
Volvo S60 R Design 2016 Red 2.0L 4 vin: YV126MFP2G2394810,5600,Copart,46131590,Run And Drive,Front End,62394 miles (Actual),20.10.2020
Volvo Xc60 T5 Dynamic 2017 Silver 2.0L 4 vin: YV440MRR1H2186042,7000,Copart,45913000,Unknown,Water/Flood,0 miles (Not Actual),20.10.2020
Volvo Xc90 2009 Brown 4.4L 8 vin: YV4CT852591512726,1550,Copart,45039440,Run And Drive,Front End,172211 miles (Actual),20.10.2020
Volvo Xc60 T6 2012 Blue 3.0L 6 vin: YV4902DZXC2324106,4200,Copart,44627670,Run And Drive,Side,106914 miles (Not Actual),20.10.2020
Volvo Xc90 3.2 2011 Black 3.2L 6 vin: YV4952CZ9B1595939,1300,Copart,44180040,Run And Drive,Front End,103681 mile (Actual),20.10.2020
Volvo Xc40 T5 Momentum 2019 Red 2.0L 4 vin: YV4162UK2K2063678,23600,Copart,44097700,Run And Drive,Hail,44516 miles (Actual),20.10.2020
Volvo Xc90 3.2 2008 White 3.2L 6 vin: YV4CY982481445232,150,Copart,43911030,Run And Drive,Front End,78770 miles (Actual),19.10.2020
Volvo Xc60 T6 Premier 2015 Blue 3.0L 6 vin: YV4902RK0F2720884,10000,Copart,41931070,Run And Drive,Front End,50520 miles (Actual),20.10.2020
Volvo Xc60 T5 Momentum 2019 Black 2.0L 4 vin: LYV102DK0KB188312,19700,Copart,41635880,Run And Drive,Water/Flood,4298 miles (Actual),20.10.2020
Volvo Xc60 T6 2013 Silver 3.0L 6 vin: YV4902DZ5D2444462,3900,Copart,41040080,Run And Drive,Front End,80058 miles (Actual),20.10.2020
Volvo Xc90 V8 2008 Silver 4.4L 8 vin: YV4CZ852481486312,1550,Copart,40969530,Enhanced Vehicles,Minor Dent/Scratches,0 miles (Exempt),20.10.2020
Volvo Vn Vnl 2008 White vin: 4V4NC9TG78N492975,3525,IAAI,28762329,Unknown,Unknown,Odometer Not Required/Exempt miles (Actual),20.10.2020
Volvo S60 T5 2012 Gray 2.5L vin: YV1622FS6C2133938,1550,IAAI,28700434,Stationary,Unknown,104730 miles (Actual),20.10.2020
Volvo S60 T5 2012 Black 2.5L vin: YV1622FS9C2141368,625,IAAI,28692863,Stationary,Front End,169792 miles (Actual),20.10.2020
Volvo Xc70 2008 Gray 3.2L vin: YV4BZ982481009120,450,IAAI,28673408,Run and Drive,Left Front,260183 miles (Actual),20.10.2020
Volvo C70 2010 Black 2.5L vin: YV1672MC2AJ092756,800,IAAI,28637815,Stationary,Rear,113044 miles (Actual),20.10.2020
Volvo Xc90 I6 2011 Black 3.2L vin: YV4952CZ1B1578844,1350,IAAI,28636247,Stationary,Unknown,165152 miles (Actual),20.10.2020
Volvo S60 2.5T 2008 Gray 2.5L vin: YV1RS592482686962,750,IAAI,28596320,Run and Drive,Left and Right Side,108301 mile (Actual),20.10.2020
Volvo Xc90 2013 Black 3.2L vin: YV4952CZXD1642320,4625,IAAI,28589207,Run and Drive,Right Side,120881 mile (Actual),20.10.2020
Volvo S40 2.4L 2009 Red 2.4L vin: YV1MS390492462556,2300,IAAI,28577967,Run and Drive,Left Front,70668 miles (Actual),20.10.2020
Volvo S60 T5 Premier 2016 Black 2.5L vin: YV1612TK1G2396707,2475,IAAI,28569470,Stationary,Left Rear,45258 miles (Actual),20.10.2020
Volvo S60 T5 2013 Blue 2.5L vin: YV1612FS2D2201480,2450,IAAI,28538566,Run and Drive,Right Side,122998 miles (Actual),20.10.2020
Volvo Xc40 R-Design 2020 Gray 2.0L vin: YV4162UM2L2253094,19325,IAAI,28531009,Starts,Right Front,12830 miles (Actual),20.10.2020
Volvo Xc60 T6 2013 Gray 3.0L vin: YV4902DZ4D2440256,2025,IAAI,28513174,Starts,Right Front,129176 miles (Actual),20.10.2020
Volvo S40 2011 White 2.5L vin: YV1672MS7B2534255,1100,IAAI,28475007,Starts,Front End,94502 miles (Actual),20.10.2020
Volvo S60 T5 2012 Black 2.5L vin: YV1622FS4C2038214,1050,IAAI,28461641,Run and Drive,Right Front,163090 miles (Actual),20.10.2020
Volvo C30 2009 Black 2.5L vin: YV1MK672X92144964,1100,IAAI,28451489,Run and Drive,Front End,151679 miles (Actual),20.10.2020
Volvo S60 T5 2014 Silver 2.5L vin: YV1612FH8E1290080,3050,IAAI,28421640,Run and Drive,Front End,100338 miles (Actual),20.10.2020
Volvo S80 3.0L Turbo 2011 Blue 3.0L vin: YV1902AH3B1148772,1400,IAAI,28412172,Stationary,Rear,111839 miles (Actual),20.10.2020
Volvo C70 2008 Silver 2.5L vin: YV1MC67268J053160,625,IAAI,28408198,Stationary,Mechanical,110857 miles (Not Required/Exempt),20.10.2020
Volvo S80 3.2L 2012 Silver 3.2L vin: YV1952ASXC1162151,800,IAAI,28376137,Stationary,Front End,125844 miles (Actual),20.10.2020
Volvo Xc40 Momentum 2019 Gray 2.0L vin: YV4162UKXK2056431,8150,IAAI,28329307,Run and Drive,All Over,9381 mile (Actual),20.10.2020
Volvo C70 2011 Red 2.5L vin: YV1672MC7BJ117992,3400,IAAI,28302812,Run and Drive,Front End,55150 miles (Actual),20.10.2020
Volvo S60 Dynamic 2017 White 2.0L vin: YV126MFL6H2433798,6175,IAAI,28269482,Stationary,Front End,43535 miles (Actual),20.10.2020
Volvo S60 T5 2013 Silver 2.5L vin: YV1612FSXD2201601,3125,IAAI,28267446,Run and Drive,Front End,111409 miles (Actual),20.10.2020
Volvo S60 T5 2012 Gray 2.5L vin: YV1622FS4C2052906,1375,IAAI,28236520,Stationary,Front End,1 mile (Not Actual),20.10.2020
Volvo Xc90 V8 2010 Beige 4.4L vin: YV4852CZ0A1540807,1075,IAAI,28210813,Run and Drive,Front End,177047 miles (Not Required/Exempt),20.10.2020
Volvo S60 T5 2013 Silver 2.5L vin: YV1612FS1D2202782,2800,IAAI,28194466,Starts,Front End,95893 miles (Actual),20.10.2020
Volvo S60 T5 2012 Blue 2.5L vin: YV1622FS0C2132087,650,IAAI,28129608,Stationary,Biohazard,85000 miles (Not Actual),20.10.2020
Volvo Xc90 I6 R-Design 2011 Red 3.2L vin: YV4952CT4B1598484,3700,IAAI,28082819,Run and Drive,Front End,132121 mile (Actual),20.10.2020
Volvo S60 T5 2013 Black 2.5L vin: YV1612FSXD2234243,3050,IAAI,28001425,Run and Drive,Front End,76450 miles (Actual),20.10.2020
Volvo C70 T5 2013 Brown 2.5L vin: YV1672MC9DJ139091,4400,IAAI,27865251,Run and Drive,Left Front,67557 miles (Actual),20.10.2020
Volvo Xc70 2008 Blue 3.2L vin: YV4BZ982081026609,925,IAAI,27790236,Run and Drive,Front End,134168 miles (Actual),20.10.2020
Volvo Xc90 3.2 2012 White 3.2L vin: YV4952CY5C1616598,600,IAAI,25155607,Stationary,Front End,1 mile (Inoperable Digital Dash),20.10.2020
Volvo Xc60 T6 2019 Silver 2.0L 4 vin: YV4A22RK0K1365061,14300,Copart,52605360,Enhanced Vehicles,Water/Flood,17358 miles (Actual),19.10.2020
Volvo Xc90 2010 Black 4.4L 8 vin: YV4852CT8A1560900,2700,Copart,52498320,Run And Drive,Normal Wear,260155 miles (Actual),16.10.2020
Volvo Xc60 T5 Inscription 2017 White 2.0L 4 vin: YV440MDU2H2015750,6800,Copart,52419130,Enhanced Vehicles,Front End,62146 miles (Actual),16.10.2020
Volvo S40 T5 2008 Black 2.5L 5 vin: YV1MH672182388502,875,Copart,52220240,Run And Drive,Front End,121825 miles (Actual),19.10.2020
Volvo Xc60 3.2 2010 Brown 3.2L 6 vin: YV4982DL1A2064888,4300,Copart,51446820,Run And Drive,Rear End,43099 miles (Actual),16.10.2020
Volvo Xc70 2008 Gray 3.2L 6 vin: YV4BZ982881035820,625,Copart,51409880,Run And Drive,Front End,174053 miles (Exempt),19.10.2020
Volvo S60 2.5T 2009 Gray 2.5L 5 vin: YV1RS592892738854,200,Copart,51395740,Run And Drive,Front End,169773 miles (Actual),19.10.2020
Volvo C70 T5 2008 Silver 2.5L 5 vin: YV1MC67298J055582,1600,Copart,51369720,Run And Drive,Front End,95042 miles (Exempt),16.10.2020
Volvo Xc60 T6 2012 White 3.0L 6 vin: YV4902DZ8C2302752,3150,Copart,51105950,Run And Drive,Front End,104432 miles (Actual),16.10.2020
Volvo Xc60 3.2 2011 Charcoal 3.2L 6 vin: YV4952DL5B2162557,1800,Copart,51063450,Run And Drive,Front End,155136 miles (Actual),19.10.2020
Volvo S80 T6 2013 Silver 3.0L 6 vin: YV1902AH1D1171535,475,Copart,50253100,Enhanced Vehicles,Water/Flood,0 miles (Not Actual),19.10.2020
Volvo Xc60 3.2 2012 Brown 3.2L 6 vin: YV4940DZ3C2257972,2350,Copart,50002660,Enhanced Vehicles,Front End,128106 miles (Actual),19.10.2020
Volvo V50 2.4I 2010 Black 2.4L 5 vin: YV1382MW3A2555590,425,Copart,49963370,Enhanced Vehicles,Front End,177559 miles (Actual),19.10.2020
Volvo S60 T6 2012 Black 3.0L 6 vin: YV1902FH4C2117731,750,Copart,49535680,Unknown,Water/Flood,110408 miles (Actual),19.10.2020
Volvo Xc60 T5 Premier 2016 Black 2.5L 5 vin: YV4612RK0G2843828,8500,Copart,49355360,Enhanced Vehicles,All Over,68172 miles (Actual),19.10.2020
Volvo Xc90 T6 Inscription 2020 White 2.0L 4 vin: YV4A22PL5L1599192,51500,Copart,48672160,Run And Drive,Front End,6194 miles (Actual),14.10.2020
Volvo S80 3.2 2012 Blue 3.2L 6 vin: YV1940AS0C1152865,650,Copart,48255410,Run And Drive,Front End,221177 miles (Actual),19.10.2020
Volvo S60 T5 Momentum 2019 Black 2.0L 4 vin: 7JR102FK2KG017211,11700,Copart,46186360,Enhanced Vehicles,Water/Flood,10465 miles (Actual),16.10.2020
Volvo Xc60 T8 Inscription 2019 Gray 2.0L 4 vin: LYVBR0DL9KB237014,9100,Copart,45915970,Enhanced Vehicles,Rollover,10389 miles (Not Actual),16.10.2020
Volvo Xc60 3.2 2012 Gray 3.2L 6 vin: YV4940DZ6C2335192,4050,Copart,45152600,Engine Start Program,Side,81306 miles (Actual),19.10.2020
Volvo S60 2.5T 2008 Silver 2.5L 5 vin: YV1RH592182699814,325,Copart,45145690,Unknown,Front End,0 miles (Exempt),19.10.2020
Volvo S60 Premier 2016 Red 2.0L 4 vin: YV126MFK2G2392463,4150,Copart,44025860,Engine Start Program,Front End,35052 miles (Actual),19.10.2020
Volvo Xc60 T5 Premier 2015 Silver 2.0L 4 vin: YV440MDK5F2726810,4850,Copart,42161070,Run And Drive,Front End,52570 miles (Actual),19.10.2020
Volvo C70 T5 2011 White 2.5L 5 vin: YV1672MC4BJ120980,2250,Copart,38661110,Enhanced Vehicles,Side,110517 miles (Actual),19.10.2020
Volvo S60 Inscription T5 Drive-E Platinum 2016 White 2.0L vin: LYV402FM2GB092300,2500,IAAI,28742485,Stationary,Right Front,54861 mile (Actual),19.10.2020
Volvo S40 2.4L 2009 Red 2.4L vin: YV1MS390792460476,550,IAAI,28662707,Stationary,Left and Right Side,187936 miles (Actual),19.10.2020
Volvo S60 2.5T 2009 Blue 2.5L vin: YV1RH592592740933,1475,IAAI,28645175,Run and Drive,Right Side,145608 miles (Not Required/Exempt),19.10.2020
